"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
El Messalla w. Bab Charki,,,,
Charé'h Bab Charki,4,27,29,56
Charé'h el Messalla,117,366,346,712
Charé'h Hôpital Grec,51,398,311,709
Charé'h el Ramleh,110,693,469,1162
Sans résidence fixe,,34,7,41
,282,1518,1162,2680
Lazzaretto N° 2,,,,
Ezbet el Toubguieh,109,347,365,712
Ezbet el Fahhama,47,130,126,256
Charé'h Salakhana,6,165,53,218
Charé'h el Chatbi,1,1,,1
Ezbet el Gouwar,156,671,682,1353
,319,1314,1226,2540
El Souri bel Attarine,,,,
El Souri bel Attarine,406,2150,1965,4115
,406,2150,1965,4115
El Messalla w. Charé'h el Ramleh,,,,
Charé'h el Messalla N° 1,158,767,734,1501
Charé'h el Messalla N° 2,13,76,77,153
Charé'h el Messalla N° 3,85,304,251,555
,256,1147,1062,2209
Bab Charki,,,,
Haret el Fakhoura,43,310,301,611
Haret el Berka,94,634,597,1231
Charé'h Bab Charki,43,243,155,398
,180,1187,1053,2240
El Attarine w. Cicolani,,,,
Charé'h Bosta el Nemsa el Kadima,16,105,96,201
Charé'h el Attarine,30,476,439,915
Charé'h el Attarine w. Bab Omar Pacha,207,1133,1157,2290
Charé'h el Attarine w. Cicolani,341,1685,1598,3283
,594,3399,3290,6689
Kom el Dikka el Gharbi,,,,
Bab Charki,29,374,408,782
Kom el Dikka el Gharbi,256,1674,1678,3352
,285,2048,2086,4134
El Attarine,,,,
Haret Ibrahim Salem,12,50,60,110
Charé'h el Mahatta,39,388,206,594
Haret el Borayi,25,145,171,316
Haret Souélem,38,213,203,416
Haret Bedeir,35,162,143,305
Haret Consolato el Nemsa,35,186,197,383
Charé'h Cherif Pacha,8,118,147,265
Haret el Fora,42,313,254,567
Charé'h Bosta el Nemsa,2,37,37,74
Charé'h el Nemsa,1,15,22,37
Charé'h Nabi-Allah Danial,30,185,227,412
Charé'h Tewfik,24,301,300,601
Charé'h el Attarine,28,288,299,587
Sans résidence fixe,,112,,112
,319,2513,2266,4779
Lazzaretto N° 1,,,,
Ezbet Gabr,22,56,79,135
Ezbet el Touta,16,71,62,133
Ezbet el Messalla,173,760,695,1455
Ezbet el Magaïrieh,100,377,385,762
,311,1264,1221,2485
Cherif Pacha w. el Messalla,,,,
Charé'h Cherif Pacha,29,262,236,498
Charé'h Kenisset Debbane,11,52,55,107
Charé'h Bab Charki,7,37,48,85
Charé'h Saïd,72,540,568,1108
Charé'h Nabi-Allah Danial,106,679,666,1345
Mahatteh Ramleh,170,1616,1103,2719
,395,3186,2676,5862
Kom el Dikka el Charki,,,,
Kom el Dikka el Charki,245,1604,1554,3158
,245,1604,1554,3158
"MINET EL BASSAL - Kism 4, t. 7",,,,
Tabiet Saleh,,,,
Charé'h el Mex,5,11,7,18
Haret Darwiche el Bourdéni,14,100,91,191
Haret Menasce,5,11,11,22
Atfet Ahmad Annous,53,359,328,687
Haret el Gamé’h,185,964,942,1906
Haret Abou el Enein,92,446,448,894
,354,1891,1827,3718
El Mafrouza,412,,,
Charé'h el Assi,58,333,293,626
Haret Farahat,36,208,189,397
Charé'h el Mafrouza,318,1374,1159,2633
,412,2015,1641,3656
Kafret el Arab,,,,
Charé'h Kafret el Arab,77,293,273,566
Haret Kafret el Arab,155,672,613,1285
Haret Om Kebeba,57,202,172,374
Kafret Abdel Halim,92,371,335,706
Charé'h el Mex,8,33,19,52
Sans résidence fixe,,72,,72
,389,1643,1412,3055
Bab el Gabbari,,,,
Haret Aly el Garran,7,34,36,70
Haret Mohammed Ghelèche,24,68,70,138
Haret el Chimi,9,44,45,89
Haret el Bey,3,9,18,27
Haret Mohammed Awad el Banna,5,25,22,47
Haret Hassan el Naga,3,14,10,24
Haret Soleiman el Kalachi,6,24,31,55
Haret Aly Atwa,7,30,29,59
Haret Helal Nabawi,28,157,142,299
Atfet Bayoumi Mohammed,11,37,28,65
Haret Hassan el Ghoul,29,87,100,187
Atfet Ibrahim Khalaf,6,23,26,49
Haret Aly Mohsen,26,117,118,235
Haret Mohammed Mohsen,6,25,32,57
Haret Atiah Ibrahim,4,19,18,37
Haret Aly el Gohari,16,55,52,107
Haret Aly el Safti,5,19,26,45
Haret Abdel Rahman Mohammed,10,23,26,49
Haret Mohammed el Chimi,19,55,68,123
Haret Mohammed Afifi,29,135,136,271
Haret Mohammed Metwalli,29,128,157,285
Haret Fathallah Dessouki,13,72,75,147
Haret Hassan Hassab-el-Nabi,12,49,80,129
Haret Kom el Malh,29,134,130,264
Haret Khalil Homa,29,107,122,229
Haret Aly Freha,9,27,41,68
Kantaret el Sekka Hadid,8,24,29,53
Bab el Gabbari,14,38,58,96
Charé'h el Mex,26,198,208,406
