Shiyakha,Thumn,Male Inhabitants,Female Inhabitants,Inhabitants,Female %,"Boulevards, Rues, Ruelles, etc.",Habitations  et Locaux Recensés,Persons per Residence,% Egyptian,% foreign,Égyptiens Total,Étrangers Total,Grece,Italie,France,Grande-Bertagne,Allemagne,Russie ,Austriche-Hongrie ,Autres pays,Musulmans  Total,Non-Muslim %,Non-Muslims Total,sum of non-Muslims,error?,Copts as % of Christians,Catholics as % of Christians,Jews as % of non-Muslims,Chretiens Total,Cophtes,Orthodoxes,Catholiques,Protestants,Israelites Total,Divers Total,Male Sachant Lire et Écrire,Male Illettrés,Female literacy,Female Sachant Lire et Écrire,Female Illettrées,% of Men without profession,Male Diverses Professions,Male San Profession,Female Diverses Professions,Female Sans Professions
Kom Choukafa el Barrani,8,1458,1540,2998,51.4,10,287,10.4,99.9,0.1,2994,4,4,,,,,,,,2982,0.5,16,16,0,75,0,0,16,12,4,,,,,256,1202,0.1,1,1539,37.3,914,544,44,1496
Bab Sidra el Barrani I,8,1485,1433,2918,49.1,7,330,8.8,98,2,2860,58,18,20,3,8,,,,9,2676,8.3,242,242,0,72.8,18.8,1.2,239,174,20,45,,3,,88,1397,2.5,36,1397,41.3,871,614,49,1384
Hadra w. El Ibrahimieh,8,3947,4015,7962,50.4,33,224,35.5,92.6,7.4,7371,591,156,133,90,112,1,18,45,36,7221,9.3,741,741,0,13.6,50.4,2.6,714,97,170,360,87,19,8,494,3453,7.9,316,3699,44,2210,1737,185,3830
Gharbi Bab el Guedid,8,3824,3447,7281,47.3,10,700,10.4,92.8,7.2,6759,522,176,161,87,41,5,5,23,24,5791,20.5,1490,1490,0,39.2,32.5,17.3,1225,480,313,398,34,258,7,1177,2647,7.6,261,3196,40.6,2271,1553,143,3314
Gharbi Karmouz,8,1759,1825,3584,50.9,11,323,11.1,98.9,1.1,3544,40,,,40,,,,,,3567,0.5,17,17,0,94.1,5.9,0,17,16,,1,,,,153,1605,0,,1825,35.5,1135,624,39,1786
Gharb Kom Choukafa,8,1508,1523,3031,50.2,10,353,8.6,99.4,0.6,3014,17,8,,,6,,,3,,2995,1.2,36,36,0,41.7,36.1,0,36,15,8,13,,,,248,1260,0.7,10,1513,37.6,941,567,20,1503
Moharrem Bey,8,2429,2558,4987,51.3,19,703,7.1,89.8,10.2,4478,509,83,155,80,87,9,3,53,39,4288,14,699,699,0,16.7,48.6,23.7,533,89,122,259,63,166,,564,1865,17.9,459,2099,39.4,1473,956,259,2299
Gheit el Enab,8,2302,2342,4644,50.4,15,632,7.3,97.6,2.4,4532,112,27,13,45,18,,,,9,4417,4.9,227,227,0,54.2,18.5,4.8,216,117,57,40,2,11,,154,2142,1.9,45,2297,38.1,1424,878,40,2302
Charki Karmouz,8,1461,1522,2983,51,21,350,8.5,97.2,2.8,2899,84,42,14,15,7,,,6,,2823,5.4,160,160,0,27.5,39.4,0,160,44,49,63,4,,,157,1304,3.3,50,1472,37.9,907,554,42,1480
El Ghatès,8,1773,1723,3496,49.3,13,370,9.4,99.7,0.3,3484,12,12,,,,,,,,3427,2,69,69,0,62.3,0,0,69,43,26,,,,,295,1478,1.3,22,1701,27.1,1292,481,83,1640
El Toubguieh,8,1091,968,2059,47,12,347,5.9,99.9,0.1,2057,2,1,,1,,,,,,1979,3.9,80,80,0,98.8,0,0,80,79,1,,,,,73,1018,0.1,1,967,35.7,701,390,37,931
El Kara w. Charki Kom el Choukafa,8,1397,1458,2855,51.1,11,328,8.7,98.6,1.4,2815,40,7,7,12,8,,,6,,2792,2.2,63,63,0,52.7,30.9,12.7,55,29,9,17,,8,,138,1259,0.7,10,1448,37.7,870,527,77,1381
El Toubguieh w. Bahri Kom el Choukafa,8,1843,1811,3654,49.6,15,400,9.1,99.4,0.6,3633,21,7,2,11,1,,,,,3606,1.3,48,48,0,34.8,6.5,4.2,46,16,27,3,,2,,181,1662,2.6,47,1764,38.1,1141,702,62,1749
Bab Sidra el Barrani II,8,2025,2077,4102,50.6,16,450,9.1,97.4,2.6,3995,107,42,16,7,5,,,34,3,3804,7.3,298,298,0,25.3,20.5,2,292,74,145,60,13,6,,163,1862,2.1,43,2034,34.2,1332,693,203,1874
El Hamamil ,9,2454,1990,4444,44.8,7,345,12.9,55.8,44.2,2480,1964,627,995,34,111,58,28,82,28,1910,57,2534,2534,0,3.3,56.7,23.9,1927,64,722,1092,49,606,1,1147,1307,31.3,623,1367,37,1547,907,257,1733
El Set Ne'emah,9,2584,2523,5107,49.4,13,397,12.9,51.3,48.7,2619,2488,759,1050,191,214,23,29,182,40,2091,59.1,3016,3016,0,2,63.6,9.1,2741,55,884,1743,59,275,,1092,1492,32.5,820,1703,36.8,1632,952,437,2086
Haret el Magharba,9,4119,3233,7352,44,34,413,17.8,56.4,43.6,4145,3207,1632,494,485,289,20,86,108,93,2560,65.2,4792,4792,0,1.2,29.8,36,3068,37,2078,914,39,1724,,1731,2388,29.4,950,2283,32.6,2776,1343,242,2991
Karakol el Labbane,9,2237,2123,4360,48.7,9,384,11.4,65,35,2833,1527,317,599,54,413,,23,112,9,2600,40.4,1760,1760,0,3.4,71.7,8,1619,55,312,1161,91,141,,566,1671,14.6,311,1812,29.2,1584,653,190,1933
Ezbet Achour w. Abdallah,10,362,395,757,52.2,1,104,7.3,89.2,10.8,675,82,35,10,1,22,,,9,4,647,14.5,110,110,0,16.2,38.4,10,99,16,45,38,,11,,27,335,5.1,20,375,50.6,179,183,13,382
El Kossayi w. Rommana,10,274,397,571,69.5,1,70,8.2,84.9,15.1,485,86,68,3,4,11,,,,,472,17.3,99,99,0,6.1,18.2,0,99,6,74,18,1,,,26,248,7.1,28,269,48.9,140,134,5,292
El Bank w. Ezbet Hussein Pacha,10,30,27,57,47.4,1,10,5.7,89.5,10.5,51,6,,,,5,,,1,,49,14,8,8,0,0,25,0,8,,1,2,5,,,4,26,11.1,3,24,30,21,9,,27
Bulkeley,10,498,478,976,49,1,149,6.6,31.8,68.2,310,666,159,173,30,203,14,,66,21,205,79,771,771,0,0.9,59.1,14.7,658,6,140,389,123,113,,292,206,83.3,398,180,34.1,328,170,110,368
Fleming,10,245,324,569,56.9,1,82,6.9,47.1,52.9,268,301,31,95,55,61,8,3,28,20,184,67.7,385,385,0,2.5,71.9,6.2,360,9,38,259,54,24,1,134,111,56.2,182,142,32.7,165,80,51,273
Bacos w. El Souk,10,817,540,1357,39.8,1,213,6.4,51.1,48.9,693,664,203,188,69,120,11,1,40,32,546,59.8,811,811,0,0.4,66.5,0.2,801,3,225,533,40,2,8,404,413,44.3,239,301,32.6,551,266,165,375
Seffer,10,202,281,483,58.2,1,55,8.8,59,41,285,198,96,25,16,26,12,1,6,16,283,41.4,200,200,0,0,35,0,200,,93,70,37,,,63,139,31,87,194,47.5,106,96,45,236
Schutz,10,342,415,757,54.8,1,125,6.1,22.2,77.8,168,589,351,59,48,59,25,11,14,22,115,84.8,642,642,0,0.2,28.7,0.2,637,1,397,183,56,1,4,245,97,54.9,228,187,39.2,208,134,106,309
San Stefano,10,180,182,362,50.3,1,46,7.9,38.7,61.3,140,222,119,5,7,39,7,,31,14,115,68.2,247,247,0,0,24.3,0,247,,138,60,49,,,88,92,54.4,99,83,33.3,120,60,65,117
Ezbet Ghobrial w. Sallam,10,148,179,327,54.7,1,46,7.1,100,0,327,,,,,,,,,,311,4.9,16,16,0,100,0,0,16,16,,,,,,7,141,0,,179,48.6,76,72,4,175
Dar Issa w. El Siouf,10,372,370,742,49.9,1,87,8.5,100,0,742,,,,,,,,,,742,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,4,368,0,,370,58.1,156,216,,370
Haret el Chokhchokh,10,410,357,767,46.5,1,67,11.4,97.3,2.7,746,21,12,5,2,2,,,,,720,6.1,47,27,20,7.3,22,22.2,41,3,9,9,,6,,6,404,0,,357,57.1,176,234,,357
Abou el Nawatir,10,828,109,937,11.6,1,60,15.6,8,92,75,862,9,15,7,826,,,1,4,60,93.6,877,786,91,1,1.1,0,877,9,10,10,757,,,768,60,49.5,54,55,6.6,773,55,2,107
Hagar el Nawatieh,10,351,324,675,48,1,131,5.2,98.1,1.9,662,13,,,,13,,,,,661,2.1,14,2,12,0,7.1,0,14,,1,1,,,,39,312,2.2,7,317,44.7,194,157,1,323
El Dahrieh,10,799,855,1654,51.7,1,202,8.2,99.6,0.4,1647,7,,4,1,2,,,,,1637,1,17,12,5,47.1,11.8,0,17,8,2,2,,,,17,782,0.1,1,854,51.6,387,412,5,850
El Aksa,10,1448,1374,2822,48.7,1,118,23.9,95,5,2681,141,28,45,17,30,,1,4,16,2563,9.2,259,102,157,8.1,13.7,10.8,248,20,34,34,3,11,,146,1302,4.1,56,1318,44.8,799,649,17,1357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,294233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
